,0
799,41
800,8
801,30
802,2
803,15
804,3
805,38
806,3
807,1
808,4
809,4
810,4
811,1
812,42
813,7
814,35
815,3
816,4
817,3
818,1
819,5
820,28
821,4
822,6
823,2
824,4
825,8
826,1
827,23
828,10
829,11
830,2
831,4
832,2
833,9
834,39
835,4
836,24
837,2
838,27
839,27
840,4
841,2
842,6
843,46
844,2
845,2
846,22
847,3
848,31
849,8
850,2
851,16
852,9
853,6
854,12
855,22
856,7
857,35
858,2
859,3
860,4
861,5
862,54
863,5
864,19
865,6
866,3
867,11
868,10
869,12
870,2
871,22
872,1
873,24
874,10
875,5
876,1
877,28
878,18
879,16
880,23
881,1
882,1
883,12
884,7
885,6
886,25
887,13
888,21
889,4
890,8
891,37
892,26
893,15
894,9
895,2
896,17
897,28
898,36
899,4
900,36
901,6
902,7
903,1
904,6
905,9
906,1
907,10
908,10
909,1
910,39
911,1
912,7
913,31
914,1
915,28
916,8
917,2
918,5
919,7
920,10
921,43
922,5
923,2
924,57
925,12
926,5
927,2
928,14
929,17
930,45
931,1
932,4
933,16
934,8
935,1
936,2
937,27
938,3
939,11
940,3
941,4
942,5
943,5
944,3
945,10
946,34
947,2
948,5
949,6
950,8
951,2
952,3
953,5
954,33
955,7
956,8
957,52
958,37
959,38
960,17
961,3
962,5
963,1
964,7
965,18
966,10
967,1
968,1
969,16
970,42
971,19
972,1
973,3
974,3
975,16
976,1
977,10
978,3
979,2
980,2
981,1
982,5
983,20
984,7
985,19
986,6
987,10
988,7
989,1
990,6
991,4
992,44
993,4
994,2
995,22
996,5
997,41
998,23
999,6
1000,1
1001,45
1002,2
1003,2
1004,4
1005,1
1006,1
1007,32
1008,6
1009,42
1010,17
1011,7
1012,9
1013,25
1014,15
1015,3
1016,22
1017,34
1018,1
1019,2
1020,9
1021,7
1022,4
1023,50
1024,16
1025,4
1026,5
1027,13
1028,1
1029,1
1030,23
1031,5
1032,10
1033,4
1034,54
1035,40
1036,11
1037,11
1038,43
1039,35
1040,4
1041,11
1042,4
1043,4
1044,3
1045,2
1046,3
1047,12
1048,5
1049,15
1050,5
1051,5
1052,53
1053,4
1054,10
1055,31
1056,43
1057,9
1058,12
1059,3
1060,5
1061,14
1062,2
1063,56
1064,2
1065,2
1066,8
1067,4
1068,1
1069,3
1070,8
1071,23
1072,14
1073,5
1074,15
1075,35
1076,38
1077,3
1078,16
1079,11
1080,4
1081,37
1082,1
1083,8
1084,32
1085,14
1086,29
1087,11
1088,7
1089,35
1090,17
1091,3
1092,6
1093,28
1094,41
1095,2
1096,4
1097,1
1098,57
1099,2
1100,27
1101,5
1102,8
1103,27
1104,5
1105,31
1106,2
1107,5
1108,1
1109,7
1110,2
1111,3
1112,39
1113,17
1114,2
1115,8
1116,14
1117,4
1118,3
1119,2
1120,42
1121,21
1122,3
1123,42
1124,13
1125,24
1126,46
1127,8
1128,8
1129,51
1130,9
1131,1
1132,7
1133,4
1134,4
1135,3
1136,8
1137,15
1138,11
1139,25
1140,12
1141,45
1142,3
1143,32
1144,20
1145,3
1146,54
1147,4
1148,7
1149,55
1150,14
1151,9
1152,24
1153,1
1154,2
1155,7
1156,7
1157,5
1158,13
1159,62
1160,26
1161,4
1162,2
1163,1
1164,6
1165,3
1166,3
1167,9
1168,6
1169,4
1170,14
1171,2
1172,39
1173,2
1174,7
1175,3
1176,1
1177,29
1178,12
1179,14
1180,3
1181,2
1182,13
1183,4
1184,22
1185,1
1186,3
1187,2
1188,2
1189,6
1190,1
1191,1
1192,1
1193,2
1194,18
1195,1
1196,33
1197,38
1198,1
1199,9
1200,43
1201,2
1202,11
1203,27
1204,4
1205,22
1206,5
1207,18
1208,1
1209,6
1210,19
1211,19
1212,2
1213,10
1214,2
1215,1
1216,5
1217,28
1218,26
1219,1
1220,58
1221,5
1222,2
1223,2
1224,4
1225,55
1226,12
1227,10
1228,8
1229,3
1230,1
1231,6
1232,8
1233,58
1234,14
1235,6
1236,52
1237,4
1238,3
1239,41
1240,11
1241,3
1242,3
1243,36
1244,1
1245,36
1246,63
1247,32
1248,2
1249,5
1250,5
1251,25
1252,25
1253,14
1254,5
1255,1
1256,11
1257,7
1258,4
1259,16
1260,10
1261,17
1262,1
1263,3
1264,6
1265,2
1266,42
1267,28
1268,20
1269,3
1270,3
1271,27
1272,14
1273,1
1274,19
1275,11
1276,1
1277,4
1278,2
1279,4
1280,1
1281,14
1282,22
1283,1
1284,13
1285,8
1286,3
1287,38
1288,13
1289,6
1290,6
1291,9
1292,1
1293,30
1294,2
1295,7
1296,11
1297,15
1298,6
1299,12
1300,1
1301,5
1302,6
1303,20
1304,3
1305,12
1306,6
1307,3
1308,10
1309,24
1310,4
1311,1
1312,14
1313,27
1314,4
1315,8
1316,8
1317,1
1318,4
1319,2
1320,18
1321,2
1322,7
1323,5
1324,12
1325,56
1326,20
1327,4
1328,6
1329,34
1330,1
1331,2
1332,15
1333,16
1334,4
1335,18
1336,1
1337,3
1338,3
1339,7
1340,1
1341,30
1342,3
1343,5
1344,5
1345,10
1346,16
1347,7
1348,1
1349,4
1350,10
1351,61
1352,47
1353,31
1354,14
1355,5
1356,6
1357,6
1358,23
1359,36
1360,63
1361,2
1362,34
1363,26
1364,3
1365,3
1366,8
1367,24
1368,11
1369,2
1370,7
1371,1
1372,23
1373,6
1374,1
1375,3
1376,26
1377,7
1378,56
1379,10
1380,10
1381,12
1382,14
1383,10
1384,10
1385,55
