,0
0,21
1,2
2,13
3,5
4,40
5,2
6,1
7,19
8,9
9,7
10,9
11,1
12,8
13,1
14,17
15,48
16,2
17,20
18,2
19,8
20,13
21,1
22,30
23,13
24,2
25,22
26,1
27,2
28,38
29,7
30,1
31,9
32,1
33,1
34,37
35,18
36,8
37,1
38,9
39,22
40,15
41,12
42,50
43,3
44,2
45,3
46,2
47,36
48,32
49,1
50,18
51,7
52,32
53,5
54,9
55,20
56,38
57,46
58,7
59,9
60,7
61,1
62,14
63,21
64,4
65,32
66,12
67,28
68,1
69,4
70,6
71,41
72,1
73,6
74,2
75,12
76,8
77,11
78,19
79,2
80,26
81,36
82,20
83,2
84,1
85,8
86,6
87,1
88,22
89,3
90,24
91,8
92,42
93,8
94,55
95,1
96,29
97,12
98,10
99,13
100,17
101,2
102,20
103,8
104,3
105,2
106,37
107,21
108,17
109,8
110,6
111,12
112,6
113,2
114,16
115,23
116,14
117,4
118,5
119,12
120,13
121,3
122,2
123,5
124,2
125,24
126,13
127,9
128,39
129,1
130,35
131,20
132,6
133,11
134,7
135,38
136,4
137,2
138,12
139,38
140,6
141,4
142,10
143,2
144,13
145,10
146,5
147,2
148,4
149,5
150,19
151,1
152,37
153,5
154,11
155,4
156,8
157,8
158,53
159,2
160,4
161,48
162,19
163,5
164,9
165,10
166,26
167,10
168,18
169,10
170,2
171,25
172,4
173,3
174,3
175,2
176,8
177,1
178,35
179,19
180,55
181,35
182,2
183,1
184,5
185,17
186,53
187,16
188,18
189,2
190,9
191,2
192,5
193,3
194,3
195,7
196,25
197,11
198,2
199,10
200,15
201,1
202,1
203,14
204,4
205,13
206,2
207,23
208,6
209,5
210,3
211,21
212,4
213,9
214,1
215,16
216,3
217,5
218,29
219,16
220,2
221,5
222,5
223,45
224,4
225,4
226,10
227,42
228,1
229,26
230,49
231,2
232,11
233,30
234,5
235,5
236,1
237,2
238,12
239,1
240,1
241,17
242,5
243,10
244,2
245,1
246,31
247,48
248,2
249,1
250,15
251,1
252,2
253,13
254,7
255,1
