,0
0,18
1,3
2,15
3,2
4,7
5,37
6,3
7,41
8,46
9,25
10,14
11,3
12,43
13,4
14,40
15,38
16,10
17,20
18,5
19,2
20,25
21,4
22,5
23,33
24,49
25,23
26,8
27,6
28,1
29,33
30,5
31,24
32,1
33,2
34,30
35,17
36,3
37,34
38,36
39,3
40,10
41,11
42,10
43,3
44,3
45,21
46,1
47,21
48,7
49,8
50,11
51,8
52,23
53,14
54,4
55,4
56,27
57,4
58,22
59,4
60,61
61,10
62,3
63,3
64,1
65,16
66,3
67,2
68,1
69,1
70,27
71,31
72,1
73,17
74,30
75,25
76,2
77,5
78,36
79,6
80,25
81,38
82,2
83,24
84,36
85,1
86,3
87,39
88,44
89,2
90,82
91,17
92,29
93,10
94,3
95,9
96,5
97,71
98,20
99,3
100,2
101,28
102,7
103,2
104,23
105,11
106,12
107,1
108,1
109,19
110,37
111,11
112,3
113,4
114,8
115,9
116,3
117,2
118,1
119,10
120,13
121,3
122,6
123,63
124,57
125,8
126,3
127,3
128,4
129,49
130,6
131,36
132,34
133,36
134,12
135,2
136,1
137,23
138,9
139,26
140,20
141,18
142,3
143,17
144,7
145,3
146,4
147,5
148,10
149,1
150,1
151,23
152,12
153,1
154,2
155,34
156,15
157,3
158,15
159,11
160,32
161,3
162,4
163,5
164,40
165,1
166,1
167,4
168,42
169,2
170,1
171,2
172,4
173,8
174,32
175,63
176,79
177,8
178,19
179,16
180,11
181,38
182,13
183,1
184,3
185,8
186,4
187,73
188,57
189,11
190,1
191,34
192,5
193,17
194,5
195,3
196,13
197,6
198,1
199,3
200,17
201,2
202,5
203,79
204,44
205,2
206,20
207,16
208,3
209,12
210,11
211,1
212,53
213,13
214,4
215,3
216,51
217,6
218,30
219,11
220,14
221,29
222,6
223,32
224,19
225,8
226,23
227,3
228,15
229,32
230,11
231,40
232,20
233,5
234,1
235,12
236,11
237,4
238,19
239,26
240,18
241,4
242,17
243,9
244,28
245,68
246,18
247,6
248,27
249,71
250,2
251,19
252,16
253,33
254,6
255,23
256,28
257,33
258,30
259,31
260,16
261,4
262,69
263,9
264,4
265,11
266,1
267,1
268,10
269,19
270,62
271,60
272,8
273,10
274,1
275,5
276,6
277,42
278,10
279,49
280,14
281,13
282,4
283,2
284,13
285,39
286,9
287,78
288,3
289,41
290,61
291,7
292,40
293,2
294,1
295,20
296,13
297,4
298,53
299,3
300,9
301,1
302,41
303,25
304,10
305,5
306,12
307,7
308,1
309,3
310,5
311,70
312,17
313,6
314,1
315,55
316,3
317,30
318,73
319,5
320,33
321,17
322,16
323,9
324,7
325,28
326,60
327,25
328,2
329,6
330,8
331,58
332,6
333,13
334,13
335,72
336,13
337,15
338,28
339,11
340,5
341,26
342,14
343,26
344,16
345,4
346,3
347,10
348,20
349,7
350,3
351,4
352,15
353,32
354,6
355,12
356,6
357,5
358,20
359,8
360,32
361,35
362,31
363,4
364,52
365,19
366,2
367,30
368,16
369,1
370,27
371,9
372,8
373,24
374,2
375,1
376,73
377,4
378,10
379,4
380,2
381,56
382,6
383,3
384,24
385,5
386,1
387,22
388,4
389,14
390,6
391,2
392,16
393,6
394,37
395,64
396,1
397,20
398,26
399,2
400,6
401,2
402,25
403,10
404,77
405,12
406,44
407,5
408,5
409,9
410,24
411,13
412,2
413,17
414,58
415,35
416,3
417,4
418,34
419,1
420,43
421,15
422,11
423,20
424,7
425,4
426,24
427,3
428,17
429,2
430,8
431,33
432,1
433,24
434,3
435,4
436,33
437,4
438,63
439,5
440,7
441,52
442,32
443,25
444,5
445,1
446,2
447,1
448,10
449,21
450,38
451,4
452,5
453,5
454,17
455,75
456,57
457,3
458,5
459,8
460,1
461,4
462,2
463,19
464,52
465,5
466,10
467,23
468,4
469,8
470,14
471,32
472,3
473,45
474,2
475,23
476,1
477,24
478,19
479,76
480,2
481,43
482,54
483,1
484,1
485,76
486,1
487,14
488,44
489,2
490,51
491,13
492,12
493,31
494,54
495,2
496,5
497,1
498,28
499,3
500,23
501,1
502,5
503,17
504,43
505,6
506,3
507,7
508,3
509,14
510,56
511,4
512,19
513,3
514,68
515,1
516,28
517,9
518,19
519,53
520,2
521,3
522,5
523,22
524,7
525,6
526,12
527,5
528,63
529,3
530,16
531,1
532,23
533,20
534,38
535,7
536,25
537,2
538,1
539,73
540,65
541,10
542,10
543,10
544,3
545,2
546,8
547,51
548,5
